DEVICE_A;PORT_A;TRANSCEIVER_A;DEVICE_B;PORT_B;TRANSCEIVER_B;STATUS;SPEED;DUPLEX;TYPE;VLAN;DESCRIPTION;NOTE;ETHERCHANNEL;CONNECTED;CONFIGURED
6NP-CORE;Twe1/0/1;SFP-10G-LR-S;1NP-ACCESS1;Ten1/1/1;SFP-10G-LR-S;UP;10G;Full;Trunk;All;1NP-ACCESS1=Ten1/1/1;;1;1;0
6NP-CORE;Twe1/0/2;SFP-10G-LR-S;3NP-ACCESS1;Ten1/1/1;SFP-10G-LR-S;UP;10G;Full;Trunk;All;3NP-ACCESS1=Ten1/1/1;;2;1;0
6NP-CORE;Twe1/0/3;SFP-10G-LR-S;4NP-ACCESS1;Ten1/1/1;SFP-10G-LR-S;UP;10G;Full;Trunk;All;4NP-ACCESS1=Ten1/1/1;;3;1;0
6NP-CORE;Twe1/0/4;SFP-10G-LR-S;4NP-ACCESS2;Ten1/1/1;SFP-10G-LR-S;UP;10G;Full;Trunk;All;4NP-ACCESS2=Ten1/1/1;;4;1;0
6NP-CORE;Twe1/0/5;SFP-10G-LR-S;5NP-ACCESS1;Ten1/1/1;SFP-10G-LR-S;UP;10G;Full;Trunk;All;5NP-ACCESS1=Ten1/1/1;;5;1;0
6NP-CORE;Twe1/0/6;SFP-10G-LR-S;5NP-ACCESS2;Ten1/1/1;SFP-10G-LR-S;UP;10G;Full;Trunk;All;5NP-ACCESS2=Ten1/1/1;;6;1;0
6NP-CORE;Twe1/0/7;GLC-T;UCS-Tmp1;CIMC;10/100/1000-Tx;UP;1G;Full;Access;352;UCS-Tmp1=CIMC;;NO;1;1
6NP-CORE;Twe1/0/8;GLC-T;STORAGE1;SP;10/100/1000-Tx;UP;1G;Full;Access;352;STORAGE1=SP;;NO;1;1
6NP-CORE;Twe1/0/9;SFP-H10GB-CU2M;STORAGE1;e0c;SFP-H10GB-CU2M;UP;10G;Full;Trunk;All;STORAGE1=e0c;;NO;1;1
6NP-CORE;Twe1/0/10;;;;;DOWN;;;;;;;;0;0
6NP-CORE;Twe1/0/11;;;;;DOWN;;;;;;;;0;0
6NP-CORE;Twe1/0/12;;;;;DOWN;;;;;;;;0;0
6NP-CORE;Twe1/1/1;SFP-H10GB-CU1M;ftd1;Port1;SFP-H10GB-CU1M;UP;10G;Full;Trunk;All;ftd1=Port1;;21;1;1
6NP-CORE;Twe1/1/2;;;;;DOWN;;;;;;;;0;0
6NP-CORE;Twe1/1/3;QSFP-4SFP10G-CU;UCS-Tmp1;QSFP-Port1-Ten1;QSFP-4SFP10G-CU;UP;10G;Full;Trunk;All;UCS-Tmp1=QSFP-Port1-Ten1;;NO;1;1
6NP-CORE;Twe1/1/4;QSFP-4SFP10G-CU;UCS-Tmp1;QSFP-Port1-Ten2;QSFP-4SFP10G-CU;UP;10G;Full;Trunk;All;UCS-Tmp1=QSFP-Port1-Ten2;;NO;1;1
6NP-CORE;Twe1/1/5;QSFP-4SFP10G-CU;UCS-Tmp1;QSFP-Port2-Ten1;QSFP-4SFP10G-CU;UP;10G;Full;Trunk;All;UCS-Tmp1=QSFP-Port2-Ten1;;NO;1;1
6NP-CORE;Twe1/1/6;QSFP-4SFP10G-CU;UCS-Tmp1;QSFP-Port2-Ten2;QSFP-4SFP10G-CU;UP;10G;Full;Trunk;All;UCS-Tmp1=QSFP-Port2-Ten2;;NO;1;1
6NP-CORE;Twe1/1/7;;;;;DOWN;;;;;;;;0;0
6NP-CORE;Twe1/1/8;GLC-T;ftd1;MGMT;10/100/1000-Tx;UP;1G;Full;Access;352;ftd1=MGMT;;NO;1;1
6NP-CORE;Twe2/0/1;SFP-10G-LR-S;1NP-ACCESS1;Ten2/1/1;SFP-10G-LR-S;UP;10G;Full;Trunk;All;1NP-ACCESS1=Ten2/1/1;;1;1;0
6NP-CORE;Twe2/0/2;SFP-10G-LR-S;3NP-ACCESS1;Ten2/1/1;SFP-10G-LR-S;UP;10G;Full;Trunk;All;3NP-ACCESS1=Ten2/1/1;;2;1;0
6NP-CORE;Twe2/0/3;SFP-10G-LR-S;4NP-ACCESS1;Ten2/1/1;SFP-10G-LR-S;UP;10G;Full;Trunk;All;4NP-ACCESS1=Ten2/1/1;;3;1;0
6NP-CORE;Twe2/0/4;SFP-10G-LR-S;4NP-ACCESS2;Ten2/1/1;SFP-10G-LR-S;UP;10G;Full;Trunk;All;4NP-ACCESS2=Ten2/1/1;;4;1;0
6NP-CORE;Twe2/0/5;SFP-10G-LR-S;5NP-ACCESS1;Ten2/1/1;SFP-10G-LR-S;UP;10G;Full;Trunk;All;5NP-ACCESS1=Ten2/1/1;;5;1;0
6NP-CORE;Twe2/0/6;SFP-10G-LR-S;5NP-ACCESS2;Ten2/1/1;SFP-10G-LR-S;UP;10G;Full;Trunk;All;5NP-ACCESS2=Ten2/1/1;;6;1;0
6NP-CORE;Twe2/0/7;;;;;DOWN;;;;;;;;0;0
6NP-CORE;Twe2/0/8;GLC-T;STORAGE2;SP;10/100/1000-Tx;UP;1G;Full;Access;352;STORAGE2=SP;;NO;1;1
6NP-CORE;Twe2/0/9;SFP-H10GB-CU2M;STORAGE2;e0c;SFP-H10GB-CU2M;UP;10G;Full;Trunk;;STORAGE2=e0c;;NO;1;1
6NP-CORE;Twe2/0/10;;;;;DOWN;;;;;;;;0;0
6NP-CORE;Twe2/0/11;;;;;DOWN;;;;;;;;0;0
6NP-CORE;Twe2/0/12;;;;;DOWN;;;;;;;;0;0
6NP-CORE;Twe2/1/1;SFP-H10GB-CU1M;ftd1;Port2;SFP-H10GB-CU1M;UP;10G;Full;Trunk;;ftd1=Port2;;21;1;1
6NP-CORE;Twe2/1/2;;;;;DOWN;;;;;;;;0;0
6NP-CORE;Twe2/1/3;QSFP-4SFP10G-CU;UCS-Tmp1;QSFP-Port1-Ten3;QSFP-4SFP10G-CU;UP;10G;Full;Trunk;;UCS-Tmp1=QSFP-Port1-Ten3;;NO;1;1
